Sun, 1.99E+30,69500,0,0,0
Mercury, 3.30E+23,2439.5,5.79E+07,47.87,
Venus, 4.87E+24,6052,1.08E+08,35.02,
Earth, 5.97E+24,6378,1.50E+08,29.78,
Mars, 6.42E+23,3396,2.28E+08,24.077,
Jupiter, 1.90E+27,71492,7.79E+08,13.07,
Saturn, 5.68E+26,60268,1.43E+09,9.69,
Uranus, 8.68E+25,25559,2.87E+09,6.81,
Neptune, 1.02E+26,24764,4.50E+09,5.43,
